,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Buybacks,,,,,22860000000.0,45000000000.0,35253000000.0,29722000000.0,32900000000.0,72738000000.0,66897000000.0,72358000000.0,85971000000.0,89402000000.0,77550000000.0,94949000000.0,90711000000.0
DividendsPaid,,,,,10528000000.0,11031000000.0,11431000000.0,11965000000.0,12769000000.0,13712000000.0,14119000000.0,14081000000.0,14467000000.0,14841000000.0,15025000000.0,15234000000.0,15421000000.0
ShortTermDebt,,,,,,6308000000.0,8499000000.0,8105000000.0,11977000000.0,11964000000.0,5980000000.0,4996000000.0,6000000000.0,9982000000.0,5985000000.0,9967000000.0,7979000000.0
CurrentPortionLongTermDebt,,,,,,,2500000000.0,3500000000.0,6496000000.0,8784000000.0,10260000000.0,8773000000.0,9613000000.0,11128000000.0,9822000000.0,10912000000.0,12350000000.0
Depreciation_Tangible,,,,,,,,,8200000000.0,9300000000.0,11300000000.0,9700000000.0,9500000000.0,8700000000.0,8500000000.0,8200000000.0,8000000000.0
LiabilitiesNoncurrent,,,,,,,,,140458000000.0,141712000000.0,142310000000.0,153157000000.0,162431000000.0,148101000000.0,145129000000.0,131638000000.0,119877000000.0
ROU_Asset_Operating,,,,,,,,,,,,8570000000.0,10087000000.0,10417000000.0,10661000000.0,10234000000.0,11205000000.0
ROU_Asset_Finance,,,,,,,,,,,,629000000.0,861000000.0,952000000.0,1015000000.0,1069000000.0,1033000000.0
LeaseLiabilityCurrent_Operating,,,,,,,,,,,,1436000000.0,1449000000.0,1534000000.0,1410000000.0,1488000000.0,1579000000.0
LeaseLiabilityNoncurrent_Operating,,,,,,,,,,,,7745000000.0,9506000000.0,9936000000.0,10408000000.0,10046000000.0,10911000000.0
LeaseLiabilityCurrent_Finance,,,,,,,,,,,,24000000.0,79000000.0,129000000.0,165000000.0,144000000.0,538000000.0
LeaseLiabilityNoncurrent_Finance,,,,,,,,,,,,637000000.0,769000000.0,812000000.0,859000000.0,752000000.0,692000000.0
FinanceLeaseLiability_Total,,,,,,,,,,,,661000000.0,848000000.0,941000000.0,1024000000.0,896000000.0,1230000000.0
FinanceLeaseLiabilityPaymentsDue,,,,,,,,,,,,1090000000.0,1266000000.0,1354000000.0,1425000000.0,1272000000.0,1579000000.0
FinanceLeaseLiabilityUndiscountedExcessAmount,,,,,,,,,,,,429000000.0,418000000.0,413000000.0,401000000.0,376000000.0,349000000.0
LeaseCost,,,,,,,,,,,,1500000000.0,1700000000.0,1900000000.0,2000000000.0,2000000000.0,2100000000.0
SellingAndMarketing,,,,,,,,,,,,,,,18260000000.0,18639000000.0,19524000000.0
GeneralAndAdministrative,,,,,,,,,,,,,,,6672000000.0,7458000000.0,8077000000.0
